Title,Type,BodyPart,Level,Time,Sets,B_Reps,I_Reps
Holman Straight Plank Right-Left Jack to Split Jack,Strength,Core,Intermediate,1,1,30,60
Holman Elbow Plank Jack to Ninja Knees,Strength,Core,Intermediate,1,1,30,60
Holman Right Side Elbow Plank with Left Leg Swing,Strength,Core,Intermediate,1,1,30,60
Holman Left Side Elbow Plank with Right Leg Swing,Strength,Core,Intermediate,1,1,30,60
Holman Straight Plank with Alternating Diagonal Sit-Back,Strength,Core,Intermediate,1,1,30,60
Holman Boat Press with Leg Extension,Strength,Core,Intermediate,3,3,10,20
Holman Shoulder Tap to Dirty Dog,Strength,Core,Intermediate,3,3,10,20
Holman Standing Russian Twist,Strength,Core,Intermediate,3,3,10,20
Holman Hovering Plank with Shoulder Tap,Strength,Core,Intermediate,1,1,30,60
Holman Elbow Plank to Stacked Plank Hip Drop,Strength,Core,Intermediate,1,1,30,60
Holman Elbow Plank to Walk-Up Pike,Strength,Core,Intermediate,1,1,30,60
Holman Hill Climber,Strength,Core,Intermediate,3,3,10,20
Holman Straight Plank Pike to Renegade Row,Strength,Core,Intermediate,3,3,10,20
Holman Alternating Hip Drop to Push-Up,Strength,Core,Intermediate,3,3,10,20
Holman Crab Kick,Strength,Core,Intermediate,3,3,10,20
Holman Wounded Bear Crawl,Strength,Core,Intermediate,3,3,10,20
Holman Alternating Crab Reach,Strength,Core,Intermediate,3,3,10,20
